id,status,source,n,k,rho,q_line,q_base,a,sigma,r,delta,gap_to_capacity_eta,numerator_lower,denominator,score_bits,verdict,notes,delta_float,eta_float
F17^32-n512-k256-tangent-a257,PROVED,experiments.tex moving-root tangent lower floor,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,257,1,255,255/512,1/512,256,2367911594760467245844106297320951247361,5.201189079989149,UNSAFE,Direct finite-slope support-wise MCA lower row; no CS25 import needed.,0.498046875,0.001953125
F17^32-n512-k256-tangent-exact-edge-a427,PROVED,experiments.tex moving-root tangent lower floor,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,427,171,85,85/512,171/512,86,2367911594760467245844106297320951247361,3.627453834691238,UNSAFE,Direct finite-slope support-wise MCA lower row; no CS25 import needed.,0.166015625,0.333984375
F17^32-n512-k256-paperD-N512,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,258,2,254,127/256,1/256,4624827333516537589539270111954982905,2367911594760467245844106297320951247361,119.0,UNSAFE,Cap divisor N=512; delta <= 127/256; hypothesis margin 253.553 bits; effective numerator from eps>(q-n)/(2kq).,0.49609375,0.00390625
prime192-rho1_2-k2^40-paperD-N512,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1108101562368,8589934592,1090921693184,127/256,1/256,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=512; delta <= 127/256; hypothesis margin 163.151 bits; effective numerator from eps>(q-n)/(2kq).,0.49609375,0.00390625
prime192-rho1_2-k2^40-paperD-N1024,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1103806595072,4294967296,1095216660480,255/512,1/512,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1024; delta <= 255/512; hypothesis margin 674.663 bits; effective numerator from eps>(q-n)/(2kq).,0.498046875,0.001953125
prime192-rho1_2-k2^40-paperD-N2048,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1101659111424,2147483648,1097364144128,511/1024,1/1024,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2048; delta <= 511/1024; hypothesis margin 1698.168 bits; effective numerator from eps>(q-n)/(2kq).,0.4990234375,0.0009765625
prime192-rho1_2-k2^40-paperD-N4096,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100585369600,1073741824,1098437885952,1023/2048,1/2048,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=4096; delta <= 1023/2048; hypothesis margin 3745.671 bits; effective numerator from eps>(q-n)/(2kq).,0.49951171875,0.00048828125
prime192-rho1_2-k2^40-paperD-N8192,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100048498688,536870912,1098974756864,2047/4096,1/4096,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=8192; delta <= 2047/4096; hypothesis margin 7841.173 bits; effective numerator from eps>(q-n)/(2kq).,0.499755859375,0.000244140625
prime192-rho1_2-k2^40-paperD-N16384,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099780063232,268435456,1099243192320,4095/8192,1/8192,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=16384; delta <= 4095/8192; hypothesis margin 16032.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4998779296875,0.0001220703125
prime192-rho1_2-k2^40-paperD-N32768,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099645845504,134217728,1099377410048,8191/16384,1/16384,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=32768; delta <= 8191/16384; hypothesis margin 32416.174 bits; effective numerator from eps>(q-n)/(2kq).,0.49993896484375,6.103515625e-05
prime192-rho1_2-k2^40-paperD-N65536,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099578736640,67108864,1099444518912,16383/32768,1/32768,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=65536; delta <= 16383/32768; hypothesis margin 65183.674 bits; effective numerator from eps>(q-n)/(2kq).,0.499969482421875,3.0517578125e-05
prime192-rho1_2-k2^40-paperD-N131072,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099545182208,33554432,1099478073344,32767/65536,1/65536,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=131072; delta <= 32767/65536; hypothesis margin 130719.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999847412109375,1.52587890625e-05
prime192-rho1_2-k2^40-paperD-N262144,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099528404992,16777216,1099494850560,65535/131072,1/131072,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=262144; delta <= 65535/131072; hypothesis margin 261790.674 bits; effective numerator from eps>(q-n)/(2kq).,0.49999237060546875,7.62939453125e-06
prime192-rho1_2-k2^40-paperD-N524288,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099520016384,8388608,1099503239168,131071/262144,1/262144,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=524288; delta <= 131071/262144; hypothesis margin 523934.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999961853027344,3.814697265625e-06
prime192-rho1_2-k2^40-paperD-N1048576,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099515822080,4194304,1099507433472,262143/524288,1/524288,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1048576; delta <= 262143/524288; hypothesis margin 1048221.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999980926513672,1.9073486328125e-06
prime192-rho1_2-k2^40-paperD-N2097152,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099513724928,2097152,1099509530624,524287/1048576,1/1048576,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2097152; delta <= 524287/1048576; hypothesis margin 2096797.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999990463256836,9.5367431640625e-07
prime192-rho1_2-k2^40-paperD-N4194304,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099512676352,1048576,1099510579200,1048575/2097152,1/2097152,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=4194304; delta <= 1048575/2097152; hypothesis margin 4193948.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999995231628418,4.76837158203125e-07
prime192-rho1_2-k2^40-paperD-N8388608,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099512152064,524288,1099511103488,2097151/4194304,1/4194304,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=8388608; delta <= 2097151/4194304; hypothesis margin 8388252.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999997615814209,2.384185791015625e-07
prime192-rho1_2-k2^40-paperD-N16777216,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511889920,262144,1099511365632,4194303/8388608,1/8388608,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=16777216; delta <= 4194303/8388608; hypothesis margin 16776859.674 bits; effective numerator from eps>(q-n)/(2kq).,0.49999988079071045,1.1920928955078125e-07
prime192-rho1_2-k2^40-paperD-N33554432,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511758848,131072,1099511496704,8388607/16777216,1/16777216,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=33554432; delta <= 8388607/16777216; hypothesis margin 33554075.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999403953552,5.960464477539063e-08
prime192-rho1_2-k2^40-paperD-N67108864,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511693312,65536,1099511562240,16777215/33554432,1/33554432,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=67108864; delta <= 16777215/33554432; hypothesis margin 67108506.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999701976776,2.9802322387695312e-08
prime192-rho1_2-k2^40-paperD-N134217728,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511660544,32768,1099511595008,33554431/67108864,1/67108864,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=134217728; delta <= 33554431/67108864; hypothesis margin 134217370.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999850988388,1.4901161193847656e-08
prime192-rho1_2-k2^40-paperD-N268435456,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511644160,16384,1099511611392,67108863/134217728,1/134217728,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=268435456; delta <= 67108863/134217728; hypothesis margin 268435097.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999925494194,7.450580596923828e-09
prime192-rho1_2-k2^40-paperD-N536870912,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511635968,8192,1099511619584,134217727/268435456,1/268435456,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=536870912; delta <= 134217727/268435456; hypothesis margin 536870553.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999962747097,3.725290298461914e-09
prime192-rho1_2-k2^40-paperD-N1073741824,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511631872,4096,1099511623680,268435455/536870912,1/536870912,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1073741824; delta <= 268435455/536870912; hypothesis margin 1073741464.674 bits; effective numerator from eps>(q-n)/(2kq).,0.49999999813735485,1.862645149230957e-09
prime192-rho1_2-k2^40-paperD-N2147483648,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511629824,2048,1099511625728,536870911/1073741824,1/1073741824,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2147483648; delta <= 536870911/1073741824; hypothesis margin 2147483288.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999990686774,9.313225746154785e-10
prime192-rho1_2-k2^40-paperD-N4294967296,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511628800,1024,1099511626752,1073741823/2147483648,1/2147483648,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=4294967296; delta <= 1073741823/2147483648; hypothesis margin 4294966935.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999995343387,4.656612873077393e-10
prime192-rho1_2-k2^40-paperD-N8589934592,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511628288,512,1099511627264,2147483647/4294967296,1/4294967296,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=8589934592; delta <= 2147483647/4294967296; hypothesis margin 8589934231.174 bits; effective numerator from eps>(q-n)/(2kq).,0.49999999976716936,2.3283064365386963e-10
prime192-rho1_2-k2^40-paperD-N17179869184,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511628032,256,1099511627520,4294967295/8589934592,1/8589934592,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=17179869184; delta <= 4294967295/8589934592; hypothesis margin 17179868822.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999998835847,1.1641532182693481e-10
prime192-rho1_2-k2^40-paperD-N34359738368,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627904,128,1099511627648,8589934591/17179869184,1/17179869184,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=34359738368; delta <= 8589934591/17179869184; hypothesis margin 34359738006.174 bits; effective numerator from eps>(q-n)/(2kq).,0.49999999994179234,5.820766091346741e-11
prime192-rho1_2-k2^40-paperD-N68719476736,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627840,64,1099511627712,17179869183/34359738368,1/34359738368,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=68719476736; delta <= 17179869183/34359738368; hypothesis margin 68719476373.674 bits; effective numerator from eps>(q-n)/(2kq).,0.49999999997089617,2.9103830456733704e-11
prime192-rho1_2-k2^40-paperD-N137438953472,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627808,32,1099511627744,34359738367/68719476736,1/68719476736,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=137438953472; delta <= 34359738367/68719476736; hypothesis margin 137438953109.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999999854481,1.4551915228366852e-11
prime192-rho1_2-k2^40-paperD-N274877906944,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627792,16,1099511627760,68719476735/137438953472,1/137438953472,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=274877906944; delta <= 68719476735/137438953472; hypothesis margin 274877906580.675 bits; effective numerator from eps>(q-n)/(2kq).,0.49999999999272404,7.275957614183426e-12
prime192-rho1_2-k2^40-paperD-N549755813888,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627784,8,1099511627768,137438953471/274877906944,1/274877906944,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=549755813888; delta <= 137438953471/274877906944; hypothesis margin 549755813524.174 bits; effective numerator from eps>(q-n)/(2kq).,0.499999999996362,3.637978807091713e-12
prime192-rho1_2-k2^40-paperD-N1099511627776,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627780,4,1099511627772,274877906943/549755813888,1/549755813888,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1099511627776; delta <= 274877906943/549755813888; hypothesis margin 1099511627411.673 bits; effective numerator from eps>(q-n)/(2kq).,0.499999999998181,1.8189894035458565e-12
prime192-rho1_2-k2^40-paperD-N2199023255552,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627778,2,1099511627774,549755813887/1099511627776,1/1099511627776,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2199023255552; delta <= 549755813887/1099511627776; hypothesis margin 2199023255187.177 bits; effective numerator from eps>(q-n)/(2kq).,0.4999999999990905,9.094947017729282e-13
prime192-rho1_4-k2^40-paperD-N512,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1116691496960,17179869184,3281355014144,191/256,1/256,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=512; delta <= 191/256; hypothesis margin 69.888 bits; effective numerator from eps>(q-n)/(2kq).,0.74609375,0.00390625
prime192-rho1_4-k2^40-paperD-N1024,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1108101562368,8589934592,3289944948736,383/512,1/512,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1024; delta <= 383/512; hypothesis margin 484.781 bits; effective numerator from eps>(q-n)/(2kq).,0.748046875,0.001953125
prime192-rho1_4-k2^40-paperD-N2048,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1103806595072,4294967296,3294239916032,767/1024,1/1024,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2048; delta <= 767/1024; hypothesis margin 1315.040 bits; effective numerator from eps>(q-n)/(2kq).,0.7490234375,0.0009765625
prime192-rho1_4-k2^40-paperD-N4096,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1101659111424,2147483648,3296387399680,1535/2048,1/2048,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=4096; delta <= 1535/2048; hypothesis margin 2976.042 bits; effective numerator from eps>(q-n)/(2kq).,0.74951171875,0.00048828125
prime192-rho1_4-k2^40-paperD-N8192,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100585369600,1073741824,3297461141504,3071/4096,1/4096,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=8192; delta <= 3071/4096; hypothesis margin 6298.540 bits; effective numerator from eps>(q-n)/(2kq).,0.749755859375,0.000244140625
prime192-rho1_4-k2^40-paperD-N16384,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100048498688,536870912,3297998012416,6143/8192,1/8192,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=16384; delta <= 6143/8192; hypothesis margin 12944.031 bits; effective numerator from eps>(q-n)/(2kq).,0.7498779296875,0.0001220703125
prime192-rho1_4-k2^40-paperD-N32768,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099780063232,268435456,3298266447872,12287/16384,1/16384,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=32768; delta <= 12287/16384; hypothesis margin 26235.513 bits; effective numerator from eps>(q-n)/(2kq).,0.74993896484375,6.103515625e-05
prime192-rho1_4-k2^40-paperD-N65536,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099645845504,134217728,3298400665600,24575/32768,1/32768,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=65536; delta <= 24575/32768; hypothesis margin 52818.975 bits; effective numerator from eps>(q-n)/(2kq).,0.749969482421875,3.0517578125e-05
prime192-rho1_4-k2^40-paperD-N131072,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099578736640,67108864,3298467774464,49151/65536,1/65536,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=131072; delta <= 49151/65536; hypothesis margin 105986.398 bits; effective numerator from eps>(q-n)/(2kq).,0.7499847412109375,1.52587890625e-05
prime192-rho1_4-k2^40-paperD-N262144,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099545182208,33554432,3298501328896,98303/131072,1/131072,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=262144; delta <= 98303/131072; hypothesis margin 212321.744 bits; effective numerator from eps>(q-n)/(2kq).,0.7499923706054688,7.62939453125e-06
prime192-rho1_4-k2^40-paperD-N524288,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,4398046511104,1099511627776,1/4,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099528404992,16777216,3298518106112,196607/262144,1/262144,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=524288; delta <= 196607/262144; hypothesis margin 424992.937 bits; effective numerator from eps>(q-n)/(2kq).,0.7499961853027344,3.814697265625e-06
